-3.65	0.23	-1.07	3.58	0.11
-2.35	4.05	-0.23	-1.13	0.11
0.28	1.14	0.54	0.36	0.14
2.65	5.26	-3.18	3.89	0.14
0.48	1.15	-2.33	-2.35	0.14
3.19	-2.23	0.47	-1.41	0.16
3.44	1.13	-3.98	5.29	0.16
0.06	-2.28	-1.69	0.04	0.15
-7.68	-4.77	3.44	-1.99	0.19
1.69	-0.68	0.28	-1.37	0.18
-9.57	-2.37	-1.85	2.11	0.2
8.4	2.89	-0.46	-8.68	0.21
3.4	2.05	-2.67	0.86	0.18
1.1	-3.03	-4.1	2.21	0.19
3.97	-1.74	2.14	-2.97	0.21
-6.94	-1.31	-2.35	7.56	0.21
6.93	0.27	-0.72	-2.3	0.18
1.19	-1.93	0.47	2.89	0.19
-2.58	-2.37	-4.77	6.92	0.16
1.43	-0.97	6.74	-6.81	0.18
2.06	0.29	-1.92	0.15	0.16
3.87	0.79	-2	-2.66	0.12
2.77	0.73	1.77	-1.77	0.14
-0.11	-3.11	-6.23	5.98	0.13
-8.13	1.07	-3.79	-0.4	0.12
-13.39	-4.86	-13.95	7.97	0.13
13.65	2.47	-1.26	-5.23	0
5.58	2.47	-4.89	0.43	0.01
2.46	2.7	-2.17	-0.73	0.01
5.77	-2.32	-1.37	7.61	0.01
7.63	-0.22	-2.96	0.55	0.01
-3.63	0.04	-2.68	3.12	0.01
-2.1	4.37	4.22	-3.05	0.01
12.47	5.81	2.13	-12.43	0.01
4.63	4.89	-1.5	-2.32	0.01
-0.03	7.34	2.97	4.5	0.01
2.78	2.06	7.17	-7.89	0
3.08	-2.37	7.39	-6.14	0
4.93	-3.2	-0.95	1.16	0
0.29	-0.25	7.09	0.88	0
2.75	1.7	-7.83	2.2	0
1.27	-3.99	-1.78	-2.25	0
2.91	-0.43	-0.15	2.51	0
-4.37	0.72	5.09	1.49	0
6.65	-2.34	-0.49	3.19	0
-1.55	-1.32	-0.45	0.9	0
3.1	-1.65	3.26	-2.6	0.01
-6.25	-5.93	12.75	-2.52	0
-2.29	2.21	3.08	1.76	0
3.05	-1.6	-1.8	3.01	0.01
-9.46	-1.4	6.17	4.87	0.01
-0.34	-1.83	8.39	2.46	0.03
-8.43	2.1	-5.98	0.77	0.06
9.57	2.8	-4.1	-3.94	0.08
-3.77	1.37	0.3	1.99	0.19
-9.35	-0.79	0.06	3.47	0.19
7.83	0.09	8.05	3.87	0.23
4.6	-3.4	1.38	-2.01	0.29
-6.41	-0.68	1.32	4.52	0.33
6.65	5.03	-4.08	-15.98	0.35
